Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified,Date,Latitude,Longitude
BL0,NO,2018-08-31,6.9,ug m-3,R,2018-08-31,51.522287,-0.125848
BL0,NO,2018-09-01,6.1,ug m-3,R,2018-09-01,51.522287,-0.125848
BL0,NO,2018-09-02,5.2,ug m-3,R,2018-09-02,51.522287,-0.125848
BL0,NO,2018-09-03,8.0,ug m-3,R,2018-09-03,51.522287,-0.125848
BL0,NO,2018-09-04,7.5,ug m-3,R,2018-09-04,51.522287,-0.125848
BL0,NO,2018-09-05,6.8,ug m-3,R,2018-09-05,51.522287,-0.125848
BL0,NO,2018-09-06,9.8,ug m-3,R,2018-09-06,51.522287,-0.125848
BL0,NO,2018-09-07,5.8,ug m-3,R,2018-09-07,51.522287,-0.125848
BL0,NO,2018-09-08,2.6,ug m-3,R,2018-09-08,51.522287,-0.125848
BL0,NO,2018-09-09,1.4,ug m-3,R,2018-09-09,51.522287,-0.125848
BL0,NO,2018-09-10,2.5,ug m-3,R,2018-09-10,51.522287,-0.125848
BL0,NO,2018-09-11,2.3,ug m-3,R,2018-09-11,51.522287,-0.125848
BL0,NO,2018-09-12,14.1,ug m-3,R,2018-09-12,51.522287,-0.125848
BL0,NO,2018-09-13,26.7,ug m-3,R,2018-09-13,51.522287,-0.125848
BL0,NO,2018-09-14,3.6,ug m-3,R,2018-09-14,51.522287,-0.125848
BL0,NO,2018-09-15,2.3,ug m-3,R,2018-09-15,51.522287,-0.125848
BL0,NO,2018-09-16,1.2,ug m-3,R,2018-09-16,51.522287,-0.125848
BL0,NO,2018-09-17,1.9,ug m-3,R,2018-09-17,51.522287,-0.125848
BL0,NO,2018-09-18,1.4,ug m-3,R,2018-09-18,51.522287,-0.125848
BL0,NO,2018-09-19,1.6,ug m-3,R,2018-09-19,51.522287,-0.125848
BL0,NO,2018-09-20,1.7,ug m-3,R,2018-09-20,51.522287,-0.125848
BL0,NO,2018-09-21,2.5,ug m-3,R,2018-09-21,51.522287,-0.125848
BL0,NO,2018-09-22,3.8,ug m-3,R,2018-09-22,51.522287,-0.125848
BL0,NO,2018-09-23,7.7,ug m-3,R,2018-09-23,51.522287,-0.125848
BL0,NO,2018-09-24,28.6,ug m-3,R,2018-09-24,51.522287,-0.125848
BL0,NO,2018-09-25,69.8,ug m-3,R,2018-09-25,51.522287,-0.125848
BL0,NO,2018-09-26,4.8,ug m-3,R,2018-09-26,51.522287,-0.125848
BL0,NO,2018-09-27,8.4,ug m-3,R,2018-09-27,51.522287,-0.125848
BL0,NO,2018-09-28,10.0,ug m-3,R,2018-09-28,51.522287,-0.125848
BL0,NO,2018-09-29,19.1,ug m-3,R,2018-09-29,51.522287,-0.125848
BL0,NO,2018-09-30,9.0,ug m-3,R,2018-09-30,51.522287,-0.125848
BL0,NO,2018-10-01,9.4,ug m-3,R,2018-10-01,51.522287,-0.125848
BL0,NO,2018-10-02,6.4,ug m-3,R,2018-10-02,51.522287,-0.125848
BL0,NO,2018-10-03,12.0,ug m-3,R,2018-10-03,51.522287,-0.125848
BL0,NO,2018-10-04,5.6,ug m-3,R,2018-10-04,51.522287,-0.125848
BL0,NO,2018-10-05,16.6,ug m-3,R,2018-10-05,51.522287,-0.125848
BL0,NO,2018-10-06,8.4,ug m-3,R,2018-10-06,51.522287,-0.125848
BL0,NO,2018-10-07,6.2,ug m-3,R,2018-10-07,51.522287,-0.125848
BL0,NO,2018-10-08,3.5,ug m-3,R,2018-10-08,51.522287,-0.125848
BL0,NO,2018-10-09,5.7,ug m-3,R,2018-10-09,51.522287,-0.125848
BL0,NO,2018-10-10,38.7,ug m-3,R,2018-10-10,51.522287,-0.125848
BL0,NO,2018-10-11,3.3,ug m-3,R,2018-10-11,51.522287,-0.125848
BL0,NO,2018-10-12,2.0,ug m-3,R,2018-10-12,51.522287,-0.125848
BL0,NO,2018-10-13,1.8,ug m-3,R,2018-10-13,51.522287,-0.125848
BL0,NO,2018-10-14,5.1,ug m-3,R,2018-10-14,51.522287,-0.125848
BL0,NO,2018-10-15,13.4,ug m-3,R,2018-10-15,51.522287,-0.125848
BL0,NO,2018-10-16,6.0,ug m-3,R,2018-10-16,51.522287,-0.125848
BL0,NO,2018-10-17,17.7,ug m-3,R,2018-10-17,51.522287,-0.125848
BL0,NO,2018-10-18,12.2,ug m-3,R,2018-10-18,51.522287,-0.125848
BL0,NO,2018-10-19,22.7,ug m-3,R,2018-10-19,51.522287,-0.125848
BL0,NO,2018-10-20,60.5,ug m-3,R,2018-10-20,51.522287,-0.125848
BL0,NO,2018-10-21,11.3,ug m-3,R,2018-10-21,51.522287,-0.125848
BL0,NO,2018-10-22,17.7,ug m-3,R,2018-10-22,51.522287,-0.125848
BL0,NO,2018-10-23,17.0,ug m-3,R,2018-10-23,51.522287,-0.125848
BL0,NO,2018-10-24,15.5,ug m-3,R,2018-10-24,51.522287,-0.125848
BL0,NO,2018-10-25,15.5,ug m-3,R,2018-10-25,51.522287,-0.125848
BL0,NO,2018-10-26,10.3,ug m-3,R,2018-10-26,51.522287,-0.125848
BL0,NO,2018-10-27,10.0,ug m-3,R,2018-10-27,51.522287,-0.125848
BL0,NO,2018-10-28,9.1,ug m-3,R,2018-10-28,51.522287,-0.125848
BL0,NO,2018-10-29,18.5,ug m-3,R,2018-10-29,51.522287,-0.125848
BL0,NO,2018-10-30,18.1,ug m-3,R,2018-10-30,51.522287,-0.125848
BL0,NO,2018-10-31,40.7,ug m-3,R,2018-10-31,51.522287,-0.125848
BL0,NO,2018-11-01,23.7,ug m-3,R,2018-11-01,51.522287,-0.125848
BL0,NO,2018-11-02,28.4,ug m-3,R,2018-11-02,51.522287,-0.125848
BL0,NO,2018-11-03,3.7,ug m-3,R,2018-11-03,51.522287,-0.125848
BL0,NO,2018-11-04,5.5,ug m-3,R,2018-11-04,51.522287,-0.125848
BL0,NO,2018-11-05,68.2,ug m-3,R,2018-11-05,51.522287,-0.125848
BL0,NO,2018-11-06,19.0,ug m-3,R,2018-11-06,51.522287,-0.125848
BL0,NO,2018-11-07,4.8,ug m-3,R,2018-11-07,51.522287,-0.125848
BL0,NO,2018-11-08,6.4,ug m-3,R,2018-11-08,51.522287,-0.125848
BL0,NO,2018-11-09,9.7,ug m-3,R,2018-11-09,51.522287,-0.125848
