Date,NO2_weighted_value(ug m-3)
2020-01-02,40.3
2020-01-03,48.2
2020-01-04,54.5
2020-01-05,52.2
2020-01-06,44.0
2020-01-07,46.9
2020-01-08,50.2
2020-01-09,42.1
2020-01-10,51.4
2020-01-11,34.9
2020-01-12,34.7
2020-01-13,33.8
2020-01-14,29.6
2020-01-15,53.6
2020-01-16,36.8
2020-01-17,59.6
2020-01-18,63.2
2020-01-19,68.7
2020-01-20,79.9
2020-01-21,80.3
2020-01-22,68.4
2020-01-23,54.0
2020-01-24,57.7
2020-01-25,41.9
2020-01-26,37.1
2020-01-27,55.0
2020-01-28,45.9
2020-01-29,56.8
2020-01-30,69.4
2020-01-31,40.9
2020-02-01,39.1
2020-02-02,43.3
2020-02-03,42.8
2020-02-04,42.5
2020-02-05,70.8
2020-02-06,72.7
2020-02-07,50.2
2020-02-08,44.1
2020-02-09,19.9
2020-02-10,34.7
2020-02-11,37.5
2020-02-12,52.4
2020-02-13,48.5
2020-02-14,51.4
2020-02-15,20.2
2020-02-16,35.2
2020-02-17,41.7
2020-02-18,49.4
2020-02-19,53.1
2020-02-20,41.0
2020-02-21,48.2
2020-02-22,35.7
2020-02-23,35.9
2020-02-24,40.4
2020-02-25,45.3
2020-02-26,45.7
2020-02-27,54.4
2020-02-28,46.9
2020-02-29,29.5
2020-03-01,39.1
2020-03-02,56.3
2020-03-03,60.6
2020-03-04,50.5
2020-03-05,48.8
2020-03-06,63.4
2020-03-07,51.0
2020-03-08,36.2
2020-03-09,40.8
2020-03-10,32.0
2020-03-11,41.5
2020-03-12,35.6
2020-03-13,44.2
2020-03-14,33.6
2020-03-15,29.9
2020-03-16,49.6
2020-03-17,40.0
2020-03-18,34.8
2020-03-19,32.6
2020-03-20,21.4
2020-03-21,15.5
2020-03-22,16.5
2020-03-23,40.1
2020-03-24,37.5
2020-03-25,41.4
2020-03-26,28.5
2020-03-27,29.6
2020-03-28,18.9
2020-03-29,16.1
2020-03-30,27.1
2020-03-31,23.5
2020-04-01,39.2
2020-04-02,20.4
2020-04-03,31.8
2020-04-04,24.1
2020-04-05,13.7
2020-04-06,19.5
2020-04-07,37.7
2020-04-08,42.1
2020-04-09,41.3
2020-04-10,31.6
2020-04-11,36.9
2020-04-12,21.7
2020-04-13,7.8
2020-04-14,15.2
2020-04-15,26.2
2020-04-16,41.9
2020-04-17,11.9
2020-04-18,19.5
2020-04-19,17.1
2020-04-20,13.3
2020-04-21,14.6
2020-04-22,19.8
2020-04-23,29.6
2020-04-24,30.9
2020-04-25,11.6
2020-04-26,19.6
2020-04-27,43.0
2020-04-28,52.55
2020-04-29,54.150000000000006
2020-04-30,54.8
2020-05-01,59.349999999999994
2020-05-02,53.45
2020-05-03,62.65
2020-05-04,56.0
2020-05-05,56.8
2020-05-06,53.7
2020-05-07,62.849999999999994
2020-05-08,71.5
2020-05-09,62.900000000000006
2020-05-10,58.5
2020-05-11,58.75
2020-05-12,55.400000000000006
2020-05-13,51.2
2020-05-14,53.15
2020-05-15,60.45
2020-05-16,52.5
2020-05-17,58.5
2020-05-18,65.5
2020-05-19,59.9
2020-05-20,59.2
2020-05-21,72.9
2020-05-22,74.95
2020-05-23,76.30000000000001
2020-05-24,69.69999999999999
2020-05-25,62.050000000000004
2020-05-26,40.75
2020-05-27,44.1
2020-05-28,59.3
2020-05-29,60.25
2020-05-30,52.35
2020-05-31,52.35
2020-06-01,53.5
2020-06-02,49.3
2020-06-03,47.0
2020-06-04,54.2
2020-06-05,51.0
2020-06-06,46.65
2020-06-07,46.4
2020-06-08,41.2
2020-06-09,42.65
2020-06-10,52.0
2020-06-11,41.900000000000006
2020-06-12,57.7
2020-06-13,48.8
2020-06-14,40.5
2020-06-15,45.05
2020-06-16,40.349999999999994
2020-06-17,46.7
2020-06-18,49.4
2020-06-19,50.400000000000006
2020-06-20,42.099999999999994
2020-06-21,50.2
2020-06-22,39.349999999999994
2020-06-23,42.45
2020-06-24,54.2
2020-06-25,64.25
2020-06-26,45.0
2020-06-27,28.85
2020-06-28,32.2
2020-06-29,47.3
2020-06-30,32.599999999999994
2020-07-01,38.45
2020-07-02,46.45
2020-07-03,37.15
2020-07-04,50.099999999999994
2020-07-05,64.3
2020-07-06,59.85
2020-07-07,47.15
2020-07-08,50.0
2020-07-09,57.95
2020-07-10,55.05
2020-07-11,53.3
2020-07-12,46.7
2020-07-13,47.05
2020-07-14,44.9
2020-07-15,51.55
2020-07-16,62.650000000000006
2020-07-17,59.3
2020-07-18,50.5
2020-07-19,52.1
2020-07-20,44.6
2020-07-21,48.4
2020-07-22,45.7
2020-07-23,44.05
2020-07-24,58.599999999999994
2020-07-25,59.2
2020-07-26,53.55
2020-07-27,49.3
2020-07-28,33.849999999999994
2020-07-29,33.1
2020-07-30,30.799999999999997
2020-07-31,41.1
2020-08-01,48.4
2020-08-02,54.599999999999994
2020-08-03,46.3
2020-08-04,39.400000000000006
2020-08-05,41.1
2020-08-06,52.0
2020-08-07,59.7
2020-08-08,46.650000000000006
2020-08-09,44.05
2020-08-10,43.85
2020-08-11,43.7
2020-08-12,46.2
2020-08-13,55.9
2020-08-14,41.5
2020-08-15,44.1
2020-08-16,36.9
2020-08-17,38.599999999999994
2020-08-18,38.6
2020-08-19,38.1
2020-08-20,45.400000000000006
2020-08-21,47.3
2020-08-22,50.9
2020-08-23,43.349999999999994
2020-08-24,52.65
2020-08-25,56.15
2020-08-26,59.800000000000004
2020-08-27,56.9
2020-08-28,49.55
2020-08-29,51.3
2020-08-30,50.55
2020-08-31,50.599999999999994
2020-09-01,49.099999999999994
2020-09-02,53.0
2020-09-03,61.25
2020-09-04,53.8
2020-09-05,56.6
2020-09-06,53.7
2020-09-07,46.650000000000006
2020-09-08,50.8
2020-09-09,45.35
2020-09-10,51.900000000000006
2020-09-11,40.45
2020-09-12,48.099999999999994
2020-09-13,50.95
2020-09-14,56.95
2020-09-15,50.05
2020-09-16,44.45
2020-09-17,45.4
2020-09-18,46.650000000000006
2020-09-19,45.900000000000006
2020-09-20,39.3
2020-09-21,44.099999999999994
2020-09-22,44.0
2020-09-23,39.95
2020-09-24,47.5
2020-09-25,50.25
2020-09-26,55.8
2020-09-27,55.8
2020-09-28,43.2
2020-09-29,44.1
2020-09-30,45.15
2020-10-01,47.5
2020-10-02,45.8
2020-10-03,46.8
2020-10-04,45.75
2020-10-05,48.6
2020-10-06,44.150000000000006
2020-10-07,49.8
2020-10-08,53.05
2020-10-09,50.75
2020-10-10,51.8
2020-10-11,40.8
2020-10-12,43.7
2020-10-13,39.75
2020-10-14,46.0
2020-10-15,47.8
2020-10-16,49.2
2020-10-17,51.55
2020-10-18,47.25
2020-10-19,60.55
2020-10-20,55.400000000000006
2020-10-21,49.85
2020-10-22,58.05
2020-10-23,51.099999999999994
2020-10-24,53.05
2020-10-25,43.75
2020-10-26,41.650000000000006
2020-10-27,48.7
2020-10-28,54.150000000000006
2020-10-29,49.3
2020-10-30,42.95
2020-10-31,47.05
2020-11-01,50.95
2020-11-02,48.699999999999996
2020-11-03,50.35
2020-11-04,47.900000000000006
2020-11-05,51.8
2020-11-06,47.599999999999994
2020-11-07,44.4
2020-11-08,53.45
2020-11-09,42.7
2020-11-10,51.65
2020-11-11,49.9
2020-11-12,51.45
2020-11-13,54.25
2020-11-14,53.3
2020-11-15,50.2
2020-11-16,43.05
2020-11-17,54.8
2020-11-18,51.349999999999994
2020-11-19,54.05
2020-11-20,50.6
2020-11-21,44.45
2020-11-22,55.150000000000006
2020-11-23,45.4
2020-11-24,45.45
2020-11-25,43.25
2020-11-26,51.45
2020-11-27,54.650000000000006
2020-11-28,47.599999999999994
2020-11-29,56.25
2020-11-30,62.0
2020-12-01,53.7
2020-12-02,60.25
2020-12-03,64.0
2020-12-04,70.85
2020-12-05,56.9
2020-12-06,52.3
2020-12-07,50.6
2020-12-08,42.7
2020-12-09,43.9
2020-12-10,50.2
2020-12-11,63.6
2020-12-12,52.6
2020-12-13,45.95
2020-12-14,49.35
2020-12-15,40.75
2020-12-16,61.25
2020-12-17,63.8
2020-12-18,44.7
2020-12-19,46.75
2020-12-20,62.15
2020-12-21,47.150000000000006
2020-12-22,51.400000000000006
2020-12-23,51.75
2020-12-24,50.0
2020-12-25,47.6
2020-12-26,44.1
2020-12-27,60.8
2020-12-28,50.15
2020-12-29,45.2
2020-12-30,48.95
2020-12-31,43.05
2021-01-01,47.15
2021-01-02,50.95
2021-01-03,57.550000000000004
2021-01-04,57.65
2021-01-05,54.35
2021-01-06,48.75
2021-01-07,50.849999999999994
2021-01-08,50.25
2021-01-09,50.400000000000006
2021-01-10,57.2
2021-01-11,46.75
2021-01-12,41.35
2021-01-13,35.5
2021-01-14,38.650000000000006
2021-01-15,57.650000000000006
2021-01-16,44.599999999999994
2021-01-17,57.6
2021-01-18,62.25
2021-01-19,57.95
2021-01-20,70.15
2021-01-21,74.19999999999999
2021-01-22,66.35
2021-01-23,59.15
2021-01-24,66.95
2021-01-25,51.0
2021-01-26,44.6
2021-01-27,45.1
2021-01-28,50.8
2021-01-29,61.1
2021-01-30,69.4
2021-01-31,52.849999999999994
2021-02-01,46.85
2021-02-02,47.099999999999994
2021-02-03,49.05
2021-02-04,46.85
2021-02-05,59.4
2021-02-06,63.400000000000006
2021-02-07,49.6
2021-02-08,43.400000000000006
2021-02-09,31.4
2021-02-10,41.6
2021-02-11,50.15
2021-02-12,58.5
2021-02-13,51.5
2021-02-14,56.7
2021-02-15,43.550000000000004
2021-02-16,46.0
2021-02-17,46.55
2021-02-18,55.349999999999994
2021-02-19,60.0
2021-02-20,53.800000000000004
2021-02-21,59.43333333333334
2021-02-22,45.46666666666667
2021-02-23,45.13333333333333
2021-02-24,47.1
2021-02-25,51.70000000000001
2021-02-26,59.26666666666667
2021-02-27,70.93333333333332
2021-02-28,55.13333333333333
2021-03-01,42.76666666666667
2021-03-02,47.56666666666666
2021-03-03,48.699999999999996
2021-03-04,51.800000000000004
2021-03-05,54.23333333333333
2021-03-06,56.9
2021-03-07,56.199999999999996
2021-03-08,52.166666666666664
2021-03-09,41.05
2021-03-10,34.2
2021-03-11,41.3
2021-03-12,40.7
2021-03-13,47.93333333333334
2021-03-14,42.9
2021-03-15,40.96666666666667
2021-03-16,49.23333333333333
2021-03-17,40.23333333333333
2021-03-18,44.43333333333334
2021-03-19,50.300000000000004
2021-03-20,54.9
2021-03-21,49.333333333333336
2021-03-22,46.56666666666666
2021-03-23,48.63333333333333
2021-03-24,47.9
2021-03-25,54.4
2021-03-26,61.699999999999996
2021-03-27,53.03333333333333
2021-03-28,57.4
2021-03-29,51.56666666666667
2021-03-30,54.9
2021-03-31,34.26666666666667
2021-04-01,44.4
2021-04-02,45.5
2021-04-03,50.26666666666667
2021-04-04,37.63333333333333
2021-04-05,36.63333333333333
2021-04-06,36.833333333333336
2021-04-07,49.0
2021-04-08,60.03333333333333
2021-04-09,52.76666666666667
2021-04-10,43.26666666666667
2021-04-11,48.1
2021-04-12,42.666666666666664
2021-04-13,35.13333333333333
2021-04-14,35.46666666666666
2021-04-15,39.9
2021-04-16,58.76666666666667
2021-04-17,40.0
2021-04-18,37.6
2021-04-19,54.0
2021-04-20,46.6
2021-04-21,43.03333333333333
2021-04-22,48.53333333333333
2021-04-23,50.199999999999996
2021-04-24,44.53333333333333
2021-04-25,33.63333333333333
2021-04-26,41.333333333333336
2021-04-27,43.0
2021-04-28,52.55
2021-04-29,54.150000000000006
2021-04-30,54.8
2021-05-01,59.349999999999994
2021-05-02,53.45
2021-05-03,62.65
