Date,NO2_weighted_value(ug m-3)
2021-03-08,58.9
2021-03-09,32.7
2021-03-10,10.9
2021-03-11,7.0
2021-03-12,10.7
2021-03-13,10.3
2021-03-14,13.2
2021-03-15,46.0
2021-03-16,32.9
2021-03-17,42.4
2021-03-18,43.5
2021-03-19,36.5
2021-03-20,42.0
2021-03-21,31.9
2021-03-22,41.5
2021-03-23,30.8
2021-03-24,24.1
2021-03-25,18.3
2021-03-26,12.8
2021-03-27,9.5
2021-03-28,6.7
2021-03-29,18.4
2021-03-30,65.6
2021-03-31,85.1
2021-04-01,38.4
2021-04-02,20.9
2021-04-03,19.8
2021-04-04,18.3
2021-04-05,21.6
2021-04-06,35.4
2021-04-07,32.5
2021-04-08,18.4
2021-04-09,26.7
2021-04-10,27.8
2021-04-11,28.9
2021-04-12,49.1
2021-04-13,50.5
2021-04-14,51.0
2021-04-15,42.6
2021-04-16,51.4
2021-04-17,39.4
2021-04-18,40.1
2021-04-19,56.0
2021-04-20,61.8
2021-04-21,47.6
2021-04-22,37.8
2021-04-23,47.5
2021-04-24,34.9
2021-04-25,19.5
2021-04-26,32.8
2021-04-27,51.0
2021-04-28,45.2
2021-04-29,44.5
2021-04-30,45.4
2021-05-01,44.3
2021-05-02,33.9
2021-05-03,9.6
2021-05-04,15.4
2021-05-05,26.4
2021-05-06,34.5
2021-05-07,22.9
2021-05-08,11.9
2021-05-09,9.5
2021-05-10,9.4
2021-05-11,23.0
2021-05-12,13.1
2021-05-13,45.6
2021-05-14,42.1
2021-05-15,27.8
2021-05-16,14.7
2021-05-17,29.3
2021-05-18,19.3
2021-05-19,36.6
2021-05-20,16.0
2021-05-21,6.6
2021-05-22,24.6
2021-05-23,8.0
2021-05-24,14.6
2021-05-25,17.4
