Date,NO2_weighted_value(ug m-3)
2021-02-26,71.3
2021-02-27,54.4
2021-02-28,29.7
2021-03-01,31.6
2021-03-02,42.1
2021-03-03,54.9
2021-03-04,35.5
2021-03-05,28.9
2021-03-06,31.4
2021-03-07,38.6
2021-03-08,74.9
2021-03-09,52.4
2021-03-10,34.9
2021-03-11,24.5
2021-03-12,30.1
2021-03-13,19.3
2021-03-14,23.1
2021-03-15,55.3
2021-03-16,41.4
2021-03-17,38.9
2021-03-18,39.6
2021-03-19,29.3
2021-03-20,48.4
2021-03-21,24.3
2021-03-22,62.6
2021-03-23,53.6
2021-03-24,51.2
2021-03-25,40.4
2021-03-26,39.2
2021-03-27,23.2
2021-03-28,17.6
2021-03-29,43.5
2021-03-30,38.760000000000005
2021-03-31,28.580000000000002
2021-04-01,37.94
2021-04-02,14.7
2021-04-03,17.2
2021-04-04,29.4
2021-04-05,21.1
2021-04-06,35.660000000000004
2021-04-07,38.4
2021-04-08,54.7
2021-04-09,51.1
2021-04-10,24.1
2021-04-11,30.0
2021-04-12,63.4
2021-04-13,76.4
2021-04-14,47.5
2021-04-15,34.7
2021-04-16,40.2
2021-04-17,35.7
2021-04-18,39.4
2021-04-19,53.8
2021-04-20,62.9
2021-04-21,42.3
2021-04-22,26.9
2021-04-23,37.2
2021-04-24,27.0
2021-04-25,10.9
2021-04-26,18.8
2021-04-27,58.4
2021-04-28,32.8
2021-04-29,33.5
2021-04-30,44.7
2021-05-01,32.3
2021-05-02,46.0
2021-05-03,16.0
2021-05-04,30.3
2021-05-05,48.6
2021-05-06,54.4
2021-05-07,49.8
2021-05-08,20.3
2021-05-09,23.4
2021-05-10,33.1
2021-05-11,38.4
2021-05-12,34.9
2021-05-13,38.4
2021-05-14,40.8
2021-05-15,34.1
2021-05-16,29.8
2021-05-17,56.1
2021-05-18,45.0
2021-05-19,56.7
2021-05-20,32.7
2021-05-21,18.4
2021-05-22,43.2
2021-05-23,18.9
2021-05-24,45.2
2021-05-25,37.3
2021-05-26,50.6
2021-05-27,57.7
2021-05-28,53.8
2021-05-29,33.7
2021-05-30,16.7
2021-05-31,21.0
2021-06-01,34.7
2021-06-02,44.6
2021-06-03,43.8
2021-06-04,31.6
2021-06-05,39.2
2021-06-06,27.7
2021-06-07,37.8
2021-06-08,41.1
2021-06-09,39.5
2021-06-10,27.8
2021-06-11,30.5
2021-06-12,30.4
2021-06-13,34.5
2021-06-14,36.1
