Date,NO2_weighted_value(ug m-3)
2020-09-05,17.7
2020-09-06,19.9
2020-09-07,23.4
2020-09-08,16.0
2020-09-09,17.4
2020-09-10,19.8
2020-09-11,26.7
2020-09-12,12.3
2020-09-13,13.4
2020-09-14,39.2
2020-09-15,45.1
2020-09-16,15.2
2020-09-17,9.7
2020-09-18,14.1
2020-09-19,9.3
2020-09-20,9.6
2020-09-21,38.1
2020-09-22,32.9
2020-09-23,15.1
2020-09-24,20.4
2020-09-25,17.5
2020-09-26,11.5
2020-09-27,9.5
2020-09-28,27.9
2020-09-29,28.6
2020-09-30,22.2
2020-10-01,23.2
2020-10-02,22.5
2020-10-03,17.2
2020-10-04,16.1
2020-10-05,22.9
2020-10-06,17.7
2020-10-07,23.1
2020-10-08,18.2
2020-10-09,37.2
2020-10-10,24.0
2020-10-11,16.0
2020-10-12,36.8
2020-10-13,22.1
2020-10-14,17.0
2020-10-15,20.3
2020-10-16,22.2
2020-10-17,16.0
2020-10-18,34.0
2020-10-19,21.6
2020-10-20,15.5
2020-10-21,24.3
2020-10-22,25.2
2020-10-23,23.0
2020-10-24,15.4
2020-10-25,22.3
2020-10-26,24.6
2020-10-27,24.1
2020-10-28,19.9
2020-10-29,22.2
2020-10-30,18.0
2020-10-31,14.0
2020-11-01,10.3
2020-11-02,11.6
2020-11-03,28.7
2020-11-04,52.4
2020-11-05,67.6
2020-11-06,61.3
2020-11-07,52.8
2020-11-08,42.6
2020-11-09,36.3
2020-11-10,36.6
2020-11-11,22.6
2020-11-12,25.4
2020-11-13,34.3
2020-11-14,18.5
2020-11-15,16.5
2020-11-16,27.4
2020-11-17,23.0
2020-11-18,21.7
2020-11-19,35.7
2020-11-20,44.4
2020-11-21,22.5
2020-11-22,32.4
2020-11-23,52.3
2020-11-24,26.6
2020-11-25,37.1
2020-11-26,57.6
2020-11-27,57.7
2020-11-28,60.1
2020-11-29,50.6
2020-11-30,42.5
2020-12-01,38.5
2020-12-02,54.1
2020-12-03,38.1
2020-12-04,34.7
2020-12-05,22.3
2020-12-06,30.3
2020-12-07,42.8
2020-12-08,48.8
2020-12-09,40.7
2020-12-10,21.9
2020-12-11,43.8
2020-12-12,30.9
2020-12-13,22.9
2020-12-14,27.2
2020-12-15,32.2
2020-12-16,24.4
2020-12-17,24.7
2020-12-18,13.5
2020-12-19,15.7
2020-12-20,18.1
2020-12-21,16.5
2020-12-22,32.9
2020-12-23,21.9
2020-12-24,11.1
2020-12-25,20.3
2020-12-26,13.7
2020-12-27,18.6
2020-12-28,28.1
2020-12-29,25.2
2020-12-30,40.0
2020-12-31,33.4
2021-01-01,32.8
2021-01-02,21.1
2021-01-03,14.9
2021-01-04,12.1
2021-01-05,16.0
2021-01-06,32.05
2021-01-07,19.15
2021-01-08,24.775
2021-01-09,28.7
2021-01-10,40.55
2021-01-11,25.799999999999997
2021-01-12,32.0
2021-01-13,32.699999999999996
2021-01-14,36.725
2021-01-15,31.650000000000002
2021-01-16,28.5
2021-01-17,23.2
2021-01-18,33.8
2021-01-19,14.8
2021-01-20,13.4
2021-01-21,22.9
2021-01-22,32.6
2021-01-23,33.1
2021-01-24,36.8
2021-01-25,43.6
2021-01-26,41.0
2021-01-27,41.6
2021-01-28,25.5
2021-01-29,25.1
2021-01-30,20.0
2021-01-31,23.3
2021-02-01,27.3
2021-02-02,24.8
2021-02-03,34.2
2021-02-04,28.6
2021-02-05,26.5
2021-02-06,23.7
2021-02-07,6.8
2021-02-08,13.5
2021-02-09,21.0
2021-02-10,17.8
2021-02-11,30.7
2021-02-12,24.9
2021-02-13,15.7
2021-02-14,16.8
2021-02-15,25.5
2021-02-16,24.4
2021-02-17,21.1
2021-02-18,18.5
2021-02-19,16.9
2021-02-20,16.7
2021-02-21,22.0
2021-02-22,43.1
2021-02-23,20.7
2021-02-24,21.0
2021-02-25,29.8
2021-02-26,37.5
2021-02-27,43.8
2021-02-28,22.8
2021-03-01,24.6
2021-03-02,30.2
2021-03-03,45.6
2021-03-04,23.1
2021-03-05,14.2
2021-03-06,20.5
2021-03-07,23.9
2021-03-08,56.2
2021-03-09,35.5
2021-03-10,15.0
2021-03-11,10.5
2021-03-12,15.0
2021-03-13,11.3
2021-03-14,13.8
2021-03-15,23.7
2021-03-16,24.2
2021-03-17,20.8
2021-03-18,21.6
2021-03-19,16.1
2021-03-20,21.9
2021-03-21,13.1
2021-03-22,34.2
2021-03-23,31.0
2021-03-24,27.2
2021-03-25,26.9
2021-03-26,17.9
2021-03-27,13.1
2021-03-28,9.8
2021-03-29,25.0
2021-03-30,57.5
2021-03-31,69.8
2021-04-01,19.9
2021-04-02,5.9
2021-04-03,6.5
2021-04-04,13.5
2021-04-05,10.9
2021-04-06,19.6
2021-04-07,28.1
2021-04-08,26.2
2021-04-09,21.0
2021-04-10,12.2
2021-04-11,13.9
2021-04-12,34.0
2021-04-13,52.6
2021-04-14,27.3
2021-04-15,18.5
2021-04-16,23.0
2021-04-17,18.6
2021-04-18,22.3
2021-04-19,40.6
2021-04-20,48.3
2021-04-21,29.0
2021-04-22,16.5
2021-04-23,26.9
2021-04-24,18.0
2021-04-25,5.7
2021-04-26,10.8
2021-04-27,35.0
2021-04-28,19.7
2021-04-29,16.0
2021-04-30,21.9
2021-05-01,16.6
2021-05-02,26.7
2021-05-03,13.2
2021-05-04,11.7
2021-05-05,24.9
2021-05-06,28.8
2021-05-07,24.7
2021-05-08,14.3
2021-05-09,13.7
2021-05-10,15.9
2021-05-11,21.7
2021-05-12,15.8
2021-05-13,31.1
2021-05-14,18.5
2021-05-15,17.3
2021-05-16,18.2
2021-05-17,28.9
2021-05-18,25.7
2021-05-19,25.2
2021-05-20,19.3
2021-05-21,8.8
2021-05-22,19.7
2021-05-23,14.7
2021-05-24,17.9
2021-05-25,21.2
2021-05-26,24.5
2021-05-27,32.7
2021-05-28,32.6
2021-05-29,25.1
2021-05-30,12.0
2021-05-31,17.3
2021-06-01,23.6
2021-06-02,34.2
2021-06-03,16.1
2021-06-04,18.7
2021-06-05,15.4
2021-06-06,17.7
2021-06-07,13.2
2021-06-08,17.0
2021-06-09,15.5
2021-06-10,11.6
