Date,PM25_weighted_value(ug m-3)
2020-08-07,14.3
2020-08-08,16.2
2020-08-09,18.9
2020-08-10,21.0
2020-08-11,29.8
2020-08-12,40.0
2020-08-13,22.7
2020-08-14,11.1
2020-08-15,15.3
2020-08-16,21.3
2020-08-17,9.2
2020-08-18,6.2
2020-08-19,6.9
2020-08-20,8.8
2020-08-21,6.8
2020-08-22,5.9
2020-08-23,9.6
2020-08-24,12.966666666666667
2020-08-25,5.6
2020-08-26,5.8
2020-08-27,7.7
2020-08-28,4.8
2020-08-29,3.7
2020-08-30,4.5
2020-08-31,6.0
2020-09-01,11.6
2020-09-02,10.4
2020-09-03,7.2
2020-09-04,7.7
2020-09-05,7.9
2020-09-06,8.4
2020-09-07,9.1
2020-09-08,6.5
2020-09-09,6.4
2020-09-10,6.7
2020-09-11,10.6
2020-09-12,7.5
2020-09-13,7.3
2020-09-14,15.5
2020-09-15,30.6
2020-09-16,17.6
2020-09-17,5.3
2020-09-18,6.5
2020-09-19,7.2
2020-09-20,8.6
2020-09-21,16.0
2020-09-22,18.1
2020-09-23,8.5
2020-09-24,5.0
2020-09-25,5.2
2020-09-26,4.1
2020-09-27,4.5
2020-09-28,9.2
2020-09-29,10.6
2020-09-30,8.2
2020-10-01,6.3
2020-10-02,6.1
2020-10-03,7.6
2020-10-04,3.9
2020-10-05,13.766666666666666
2020-10-06,10.600000000000001
2020-10-07,9.533333333333333
2020-10-08,5.6
2020-10-09,9.9
2020-10-10,6.3
2020-10-11,5.0
2020-10-12,10.2
2020-10-13,5.5
2020-10-14,6.3
2020-10-15,4.1
2020-10-16,16.400000000000002
2020-10-17,12.633333333333333
2020-10-18,10.666666666666666
2020-10-19,13.700000000000001
2020-10-20,16.466666666666665
2020-10-21,10.233333333333334
2020-10-22,9.2
2020-10-23,10.45
2020-10-24,14.700000000000001
2020-10-25,10.200000000000001
2020-10-26,7.3999999999999995
2020-10-27,6.533333333333334
2020-10-28,8.700000000000001
2020-10-29,6.5
2020-10-30,10.833333333333334
2020-10-31,17.8
2020-11-01,13.433333333333332
2020-11-02,13.4
2020-11-03,13.766666666666666
2020-11-04,12.600000000000001
2020-11-05,25.166666666666668
2020-11-06,19.533333333333335
2020-11-07,10.866666666666667
2020-11-08,13.333333333333334
2020-11-09,11.6
2020-11-10,11.966666666666667
2020-11-11,10.966666666666667
2020-11-12,10.666666666666666
2020-11-13,9.333333333333334
2020-11-14,9.766666666666667
2020-11-15,15.333333333333334
2020-11-16,17.5
2020-11-17,20.633333333333333
2020-11-18,10.933333333333332
2020-11-19,13.9
2020-11-20,11.833333333333334
2020-11-21,18.766666666666666
2020-11-22,19.599999999999998
2020-11-23,23.26666666666667
2020-11-24,21.75
2020-11-25,14.0
2020-11-26,9.233333333333333
2020-11-27,11.266666666666666
2020-11-28,9.200000000000001
2020-11-29,12.299999999999999
2020-11-30,13.133333333333333
2020-12-01,7.666666666666667
2020-12-02,12.1
2020-12-03,15.9
2020-12-04,19.033333333333335
2020-12-05,15.200000000000001
2020-12-06,11.266666666666666
2020-12-07,8.666666666666666
2020-12-08,8.466666666666667
2020-12-09,7.433333333333334
2020-12-10,9.200000000000001
2020-12-11,14.566666666666668
2020-12-12,12.666666666666666
2020-12-13,11.866666666666667
2020-12-14,14.833333333333334
2020-12-15,12.433333333333332
2020-12-16,9.533333333333333
2020-12-17,12.9
2020-12-18,11.9
2020-12-19,10.033333333333333
2020-12-20,8.366666666666667
2020-12-21,9.55
2020-12-22,10.7
2020-12-23,8.7
2020-12-24,3.9
2020-12-25,7.6
2020-12-26,6.4
2020-12-27,28.150000000000002
2020-12-28,10.8
2020-12-29,12.9
2020-12-30,15.1
2020-12-31,15.6
2021-01-01,21.8
2021-01-02,7.1
2021-01-03,7.6
2021-01-04,14.799999999999999
2021-01-05,4.8
2021-01-06,7.0
2021-01-07,23.0
2021-01-08,23.8
2021-01-09,19.0
2021-01-10,19.4
2021-01-11,12.6
2021-01-12,7.7
2021-01-13,16.8
2021-01-14,13.799999999999999
2021-01-15,17.7
2021-01-16,10.8
2021-01-17,11.9
2021-01-18,13.6
2021-01-19,3.8
2021-01-20,6.0
2021-01-21,4.9
2021-01-22,8.7
2021-01-23,10.2
2021-01-24,10.0
2021-01-25,11.1
2021-01-26,13.133333333333333
2021-01-27,11.95
2021-01-28,6.4
2021-01-29,6.6
2021-01-30,6.6
2021-01-31,9.6
2021-02-01,15.6
2021-02-02,11.3
2021-02-03,9.6
2021-02-04,7.8
2021-02-05,7.4
2021-02-06,10.4
2021-02-07,6.9
2021-02-08,6.5
2021-02-09,6.6
2021-02-10,6.2
2021-02-11,14.9
2021-02-12,15.7
2021-02-13,12.2
2021-02-14,12.1
2021-02-15,10.2
2021-02-16,8.7
2021-02-17,6.2
2021-02-18,6.9
2021-02-19,6.7
2021-02-20,14.2
2021-02-21,13.0
2021-02-22,21.6
2021-02-23,9.0
2021-02-24,9.2
2021-02-25,8.0
2021-02-26,12.5
2021-02-27,19.1
2021-02-28,18.0
2021-03-01,28.1
2021-03-02,39.9
2021-03-03,45.1
2021-03-04,13.1
2021-03-05,4.6
2021-03-06,6.5
2021-03-07,15.1
2021-03-08,30.6
2021-03-09,17.1
2021-03-10,12.9
2021-03-11,6.6
2021-03-12,5.9
2021-03-13,4.3
2021-03-14,4.3
2021-03-15,7.0
2021-03-16,8.8
2021-03-17,9.1
2021-03-18,9.1
2021-03-19,4.0
2021-03-20,10.2
2021-03-21,8.3
2021-03-22,15.9
2021-03-23,19.4
2021-03-24,19.7
2021-03-25,7.8
2021-03-26,6.3
2021-03-27,5.9
2021-03-28,8.0
2021-03-29,10.2
2021-03-30,17.5
2021-03-31,28.0
2021-04-01,18.8
2021-04-02,3.2
2021-04-03,7.8
2021-04-04,12.2
2021-04-05,6.0
2021-04-06,11.733333333333334
2021-04-07,26.133333333333336
2021-04-08,8.3
2021-04-09,8.1
2021-04-10,7.4
2021-04-11,6.7
2021-04-12,10.0
2021-04-13,17.0
2021-04-14,12.3
2021-04-15,5.3
2021-04-16,8.0
2021-04-17,6.3
2021-04-18,8.8
2021-04-19,19.3
2021-04-20,33.5
2021-04-21,34.9
2021-04-22,7.8
2021-04-23,9.2
2021-04-24,10.4
2021-04-25,5.9
2021-04-26,5.7
2021-04-27,15.4
2021-04-28,15.9
2021-04-29,5.3
2021-04-30,11.0
2021-05-01,10.9
2021-05-02,16.5
2021-05-03,8.6
2021-05-04,4.7
2021-05-05,5.1
2021-05-06,6.9
