TravelDate,DayOfWeek,Station,EntryTapCount,ExitTapCount
20240102,Tuesday,Alperton,2768,2954
20240102,Tuesday,Amersham,1913,1894
20240102,Tuesday,Anerley,917,796
20240102,Tuesday,Angel,10631,11212
20240102,Tuesday,Archway,7738,7308
20240102,Tuesday,Arnos Grove,3914,3652
20240102,Tuesday,Baker Street,23560,23564
20240102,Tuesday,Balham,9900,11015
20240102,Tuesday,Bank,35193,36778
20240102,Tuesday,Barbican,5843,5491
20240102,Tuesday,Barking,17661,17866
20240102,Tuesday,Barking Riverside,637,297
20240102,Tuesday,Barkingside,1243,1270
20240102,Tuesday,Barons Court,4910,4967
20240102,Tuesday,Battersea Power Station,10800,10732
20240102,Tuesday,Bayswater,5293,4885
20240102,Tuesday,Beckton,1467,1433
20240102,Tuesday,Beckton Park,385,291
20240102,Tuesday,Becontree,3525,3368
20240102,Tuesday,Belsize Park,5626,5441
20240102,Tuesday,Bermondsey,7233,7225
20240102,Tuesday,Bethnal Green,11333,10842
20240102,Tuesday,Bethnal Green NR,1579,1821
20240102,Tuesday,Blackfriars,14133,12903
20240102,Tuesday,Blackhorse Road,9358,9194
20240102,Tuesday,Blackwall,1066,958
20240102,Tuesday,Bond Street,45798,47968
20240102,Tuesday,Borough,4076,4143
20240102,Tuesday,Boston Manor,1506,1815
20240102,Tuesday,Bounds Green,4769,4626
20240102,Tuesday,Bow Church,1709,1429
20240102,Tuesday,Bow Road,5282,5429
20240102,Tuesday,Brent Cross,2174,2190
20240102,Tuesday,Brentwood,3064,2757
20240102,Tuesday,Brixton,22313,23247
20240102,Tuesday,Brockley,3459,3481
20240102,Tuesday,Bromley-by-Bow,4088,4031
20240102,Tuesday,Brondesbury,2296,2062
20240102,Tuesday,Brondesbury Park,737,660
20240102,Tuesday,Bruce Grove,1311,1100
20240102,Tuesday,Buckhurst Hill,2258,2207
20240102,Tuesday,Burnham Bucks,562,568
20240102,Tuesday,Burnt Oak,3400,3413
20240102,Tuesday,Bush Hill Park,1320,1116
20240102,Tuesday,Bushey,1098,736
20240102,Tuesday,Caledonian Road,4527,4267
20240102,Tuesday,Caledonian Road & Barnsbury,1197,1175
20240102,Tuesday,Cambridge Heath,848,859
20240102,Tuesday,Camden Road,3678,4204
20240102,Tuesday,Camden Town,26578,27449
20240102,Tuesday,Canada Water,10546,11731
20240102,Tuesday,Canary Wharf,40703,37787
20240102,Tuesday,Canary Wharf DLR,5862,7799
20240102,Tuesday,Canary Wharf EL,15422,17056
20240102,Tuesday,Canning Town,13779,13975
20240102,Tuesday,Cannon Street,6133,4281
20240102,Tuesday,Canonbury,2417,2041
20240102,Tuesday,Canons Park,2190,2249
20240102,Tuesday,Carpenders Park,1108,1093
20240102,Tuesday,Chadwell Heath,5214,4629
20240102,Tuesday,Chalfont & Latimer,1075,917
20240102,Tuesday,Chalk Farm,4636,3692
20240102,Tuesday,Chancery Lane,8569,8810
20240102,Tuesday,Charing Cross,20453,17789
20240102,Tuesday,Chesham,1055,878
20240102,Tuesday,Cheshunt,1948,1914
20240102,Tuesday,Chigwell,338,297
20240102,Tuesday,Chingford,2119,2084
20240102,Tuesday,Chiswick Park,2583,3115
20240102,Tuesday,Chorleywood,775,719
20240102,Tuesday,Clapham Common,7417,8896
20240102,Tuesday,Clapham High Street,403,313
20240102,Tuesday,Clapham Junction,16527,16971
20240102,Tuesday,Clapham North,4774,5437
20240102,Tuesday,Clapham South,5472,6464
20240102,Tuesday,Clapton,1957,1623
20240102,Tuesday,Cockfosters,1746,1672
20240102,Tuesday,Colindale,7373,7262
20240102,Tuesday,Colliers Wood,5871,6302
20240102,Tuesday,Covent Garden,16349,20363
20240102,Tuesday,Crossharbour,2229,1798
20240102,Tuesday,Crouch Hill,349,385
20240102,Tuesday,Croxley,868,878
20240102,Tuesday,Crystal Palace,2317,2701
20240102,Tuesday,Custom House DLR,3580,2440
20240102,Tuesday,Custom House EL,10472,10319
20240102,Tuesday,Cutty Sark,3466,2867
20240102,Tuesday,Cyprus,630,537
20240102,Tuesday,Dagenham East,3172,3079
20240102,Tuesday,Dagenham Heathway,5812,5835
20240102,Tuesday,Dalston Junction,4188,4401
20240102,Tuesday,Dalston Kingsland,4590,4488
20240102,Tuesday,Debden,2213,2095
20240102,Tuesday,Denmark Hill,4368,4851
20240102,Tuesday,Deptford Bridge,1820,974
20240102,Tuesday,Devons Road,1733,1426
20240102,Tuesday,Dollis Hill,3520,3197
