TravelDate,DayOfWeek,Station,EntryTapCount,ExitTapCount,Borough
20240220,Tuesday,Cannon Street,8653,7782,City of London
20240220,Tuesday,Chancery Lane,15120,16621,City of London
20240220,Tuesday,Liverpool Street,99352,101836,City of London
20240220,Tuesday,Mansion House,8688,9400,City of London
20240220,Tuesday,Monument,16991,15891,City of London
20240220,Tuesday,Moorgate,47106,50225,City of London
20240221,Wednesday,Aldgate,12868,14375,City of London
20240221,Wednesday,Bank,61781,65229,City of London
20240221,Wednesday,Barbican,10376,10941,City of London
20240221,Wednesday,Blackfriars,20619,20065,City of London
20240221,Wednesday,Cannon Street,8950,7925,City of London
20240221,Wednesday,Chancery Lane,16203,17088,City of London
20240221,Wednesday,Liverpool Street,101750,102263,City of London
20240221,Wednesday,Mansion House,8518,9597,City of London
20240221,Wednesday,Monument,17249,16382,City of London
20240221,Wednesday,Moorgate,47504,51463,City of London
20240222,Thursday,Aldgate,13613,15386,City of London
20240222,Thursday,Bank,66438,69128,City of London
20240222,Thursday,Barbican,11000,11522,City of London
20240222,Thursday,Blackfriars,22311,21616,City of London
20240222,Thursday,Cannon Street,9436,8380,City of London
20240222,Thursday,Chancery Lane,17181,15921,City of London
20240222,Thursday,Liverpool Street,108926,109828,City of London
20240222,Thursday,Mansion House,9277,10509,City of London
20240222,Thursday,Monument,19520,17506,City of London
20240222,Thursday,Moorgate,49634,53968,City of London
20240223,Friday,Aldgate,9814,11720,City of London
20240223,Friday,Bank,38632,40555,City of London
20240223,Friday,Barbican,8185,8125,City of London
20240223,Friday,Blackfriars,16549,16039,City of London
20240223,Friday,Cannon Street,6423,5280,City of London
20240223,Friday,Chancery Lane,11044,10554,City of London
20240223,Friday,Liverpool Street,85395,85853,City of London
20240223,Friday,Mansion House,5885,6453,City of London
20240223,Friday,Monument,13704,12313,City of London
20240223,Friday,Moorgate,30004,32741,City of London
20240224,Saturday,Aldgate,6679,9134,City of London
20240224,Saturday,Bank,17758,20266,City of London
20240224,Saturday,Barbican,5017,5308,City of London
20240224,Saturday,Blackfriars,10708,9855,City of London
20240224,Saturday,Cannon Street,3967,3059,City of London
20240224,Saturday,Chancery Lane,4969,4832,City of London
20240224,Saturday,Liverpool Street,61729,63540,City of London
20240224,Saturday,Mansion House,3420,3636,City of London
20240224,Saturday,Monument,12346,10843,City of London
20240224,Saturday,Moorgate,13508,16370,City of London
