Date,NO_weighted_value(ug m-3)
2020/8/10,2.2
2020/8/11,1.9
2020/8/12,1.4
2020/8/13,2
2020/8/14,2.5500000000000003
2020/8/15,1.95
2020/8/16,2.8000000000000003
2020/8/17,3.6
2020/8/18,1.92
2020/8/19,3
2020/8/20,1.7
2020/8/21,1.6
2020/8/22,5.6
2020/8/23,2.7
2020/8/24,3.1
2020/8/25,1.4
2020/8/26,3.4
2020/8/27,3.4
2020/8/28,5
2020/8/29,4.6
2020/8/30,3.1
2020/8/31,8
2020/9/1,12
2020/9/2,1.7
2020/9/3,2.6
2020/9/4,3
2020/9/5,5.1
2020/9/6,3.8
2020/9/7,6.1
2020/9/8,4.1
2020/9/9,7.6
2020/9/10,8.8
2020/9/11,4.3
2020/9/12,6.7
2020/9/13,17.9
2020/9/14,14.6
2020/9/15,4.325
2020/9/16,4.85
2020/9/17,3.6500000000000004
2020/9/18,3.85
2020/9/19,5.5
2020/9/20,7.275
2020/9/21,11.149999999999999
2020/9/22,2.875
2020/9/23,3.975
2020/9/24,9.3
2020/9/25,19.325
2020/9/26,3.525
2020/9/27,4.225
2020/9/28,6.125
2020/9/29,8.975000000000001
2020/9/30,5.275
2020/10/1,4.3
2020/10/2,5.875
2020/10/3,15.524999999999999
2020/10/4,3.675
2020/10/5,6.675
2020/10/6,5.625
2020/10/7,3.6
2020/10/8,3.275
2020/10/9,3.775
2020/10/10,13.325000000000001
2020/10/11,6.125
2020/10/12,3.1666666666666665
2020/10/13,3.766666666666667
2020/10/14,9.4
2020/10/15,6.266666666666667
2020/10/16,8.125
2020/10/17,5.875
2020/10/18,8.95
2020/10/19,8.55
2020/10/20,19.45
2020/10/21,8.775
2020/10/22,9.475
2020/10/23,21.45
2020/10/24,10.05
2020/10/25,5.55
2020/10/26,3.575
2020/10/27,4.825
2020/10/28,6.525
2020/10/29,8
2020/10/30,10.575
2020/10/31,20.175
2020/11/1,8.6
2020/11/2,12.325
2020/11/3,10.674999999999999
2020/11/4,9.475
2020/11/5,26.275000000000002
2020/11/6,8.2
2020/11/7,4.2749999999999995
2020/11/8,13.175
2020/11/9,7.374999999999999
2020/11/10,4.15
2020/11/11,3.325
2020/11/12,5.2250000000000005
2020/11/13,11.75
2020/11/14,13.575
2020/11/15,10.575
2020/11/16,16.025
2020/11/17,21.325
2020/11/18,10.725
2020/11/19,18.85
2020/11/20,13.2
2020/11/21,22.1
2020/11/22,29.65
2020/11/23,27.4
2020/11/24,22.55
2020/11/25,8.35
2020/11/26,9.525
2020/11/27,45.8
2020/11/28,22.1
2020/11/29,11.3
2020/11/30,15.7
2020/12/1,8.1
2020/12/2,28.5
2020/12/3,4.1
2020/12/4,10.3
2020/12/5,5
2020/12/6,9.2
2020/12/7,21.8
2020/12/8,33
2020/12/9,9.2
2020/12/10,4.9
2020/12/11,12.2
2020/12/12,39.8
2020/12/13,2
2020/12/14,1.8
2020/12/15,2.4
2020/12/16,3.9
2020/12/17,2.2
2020/12/18,1.4
2020/12/19,1.3
2020/12/20,1.3
2020/12/21,2.2
2020/12/22,20.9
2020/12/23,1.9
2020/12/24,4.7
2020/12/25,6.6
2020/12/26,0.8
2020/12/27,4.4
2020/12/28,5.9
2020/12/29,12.2
2020/12/30,34.3
2020/12/31,8.4
2021/1/1,36.7
2021/1/2,6.5
2021/1/3,4.8
2021/1/4,4.8
2021/1/5,4.8
2021/1/6,8.6
2021/1/7,36.7
2021/1/8,19.1
2021/1/9,24.3
2021/1/10,15.9
2021/1/11,3
2021/1/12,9.8
2021/1/13,19.6
2021/1/14,8.4
2021/1/15,18.5
2021/1/16,15.8
2021/1/17,20.6
2021/1/18,2.6
2021/1/19,1.2
2021/1/20,25.82
2021/1/21,36.82
2021/1/22,6.2
2021/1/23,14.5
2021/1/24,8.1
2021/1/25,29.5
2021/1/26,5.2
2021/1/27,9
2021/1/28,3.6
2021/1/29,9.7
2021/1/30,4.9
2021/1/31,7.7
2021/2/1,8.5
2021/2/2,4
2021/2/3,7.8
2021/2/4,3.3
2021/2/5,2.5
2021/2/6,6.2
2021/2/7,2.3
2021/2/8,4.3
2021/2/9,10.16
2021/2/10,5.9
2021/2/11,8.9
2021/2/12,9.5
2021/2/13,4
2021/2/14,1.5
2021/2/15,2.5
2021/2/16,1.9
2021/2/17,1.4
2021/2/18,3.3
2021/2/19,1.7
2021/2/20,1.5
2021/2/21,1.9
2021/2/22,7.9
2021/2/23,2.1
2021/2/24,1.9
2021/2/25,18.4
2021/2/26,12.1
2021/2/27,10
2021/2/28,3.9
2021/3/1,7.6
2021/3/2,16.3
2021/3/3,32.3
2021/3/4,6.4
2021/3/5,4.4
2021/3/6,2.6
2021/3/7,2.5
2021/3/8,14.4
2021/3/9,24.5
2021/3/10,1.3
2021/3/11,5.7
2021/3/12,2.3
2021/3/13,9.3
2021/3/14,20.7
2021/3/15,6.5
2021/3/16,11.7
2021/3/17,7.5
2021/3/18,8.4
2021/3/19,4.1
2021/3/20,11.6
2021/3/21,3.1
2021/3/22,11.3
2021/3/23,2.4
2021/3/24,2.3
2021/3/25,3.9
2021/3/26,1.3
2021/3/27,1.7
2021/3/28,0.8
2021/3/29,1.3
2021/3/30,21.2
2021/3/31,33.8
2021/4/1,10.3
2021/4/2,2.1
2021/4/3,2.3
2021/4/4,2.1
2021/4/5,4.7
2021/4/6,6.3
2021/4/7,16.1
2021/4/8,2.2
2021/4/9,4.3
2021/4/10,2.3
2021/4/11,3.1
2021/4/12,4
2021/4/13,9.2
2021/4/14,5.7
2021/4/15,4.8
2021/4/16,4
2021/4/17,3
2021/4/18,2.4
2021/4/19,7.4
2021/4/20,6.5
2021/4/21,4.6
2021/4/22,3.5
2021/4/23,5.8
2021/4/24,3.3
2021/4/25,2.1
2021/4/26,3
2021/4/27,4.6
2021/4/28,4
2021/4/29,3.2
2021/4/30,2.9
2021/5/1,2.5
2021/5/2,2.3
2021/5/3,1.2
2021/5/4,6.4
2021/5/5,7.4
2021/5/6,6
2021/5/7,7.1
2021/5/8,1.1
2021/5/9,1.6
2021/5/10,1.2
2021/5/11,2.4
2021/5/12,1.1
2021/5/13,3.3
2021/5/14,2.6
2021/5/15,1.5
2021/5/16,1.3
2021/5/17,6.9
2021/5/18,2.7
2021/5/19,5.8
2021/5/20,1.7
2021/5/21,1.1
2021/5/22,4.4
2021/5/23,1
2021/5/24,2
2021/5/25,3.8
2021/5/26,9.2
2021/5/27,8.8
2021/5/28,2.6
2021/5/29,1.9
2021/5/30,1.4
2021/5/31,1.7
2021/6/1,3.1
2021/6/2,2.6
2021/6/3,1.6
2021/6/4,3.4
2021/6/5,2.5
2021/6/6,2.2
2021/6/7,1.7
2021/6/8,3.4
2021/6/9,2
2021/6/10,2.1
2021/6/11,2.3
2021/6/12,2.6
2021/6/13,1.1
2021/6/14,1.9
2021/6/15,2.1
2021/6/16,1.4
2021/6/17,3.5
2021/6/18,4.4
2021/6/19,2.2
2021/6/20,2.1
2021/6/21,3.3
2021/6/22,3.5
2021/6/23,2.6
2021/6/24,4.3
2021/6/25,2.6
2021/6/26,2.1
2021/6/27,1.4
2021/6/28,3.5
2021/6/29,4
2021/6/30,4
